dataset,feature_name,source_file,raw_column,entity_type,role,group,encoded_column_index,feature_subset_status
amazonbook,graph_only,graph_only,graph_only,item,safe_pre_treatment,graph_only,,not_applicable
movielens1m,movies::genres=Action,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,0,search_candidate
movielens1m,movies::genres=Adventure,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,1,search_candidate
movielens1m,movies::genres=Animation,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,2,search_candidate
movielens1m,movies::genres=Children's,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,3,search_candidate
movielens1m,movies::genres=Comedy,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,4,search_candidate
movielens1m,movies::genres=Crime,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,5,search_candidate
movielens1m,movies::genres=Documentary,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,6,search_candidate
movielens1m,movies::genres=Drama,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,7,search_candidate
movielens1m,movies::genres=Fantasy,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,8,search_candidate
movielens1m,movies::genres=Film-Noir,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,9,search_candidate
movielens1m,movies::genres=Horror,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,10,search_candidate
movielens1m,movies::genres=Musical,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,11,search_candidate
movielens1m,movies::genres=Mystery,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,12,search_candidate
movielens1m,movies::genres=Romance,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,13,search_candidate
movielens1m,movies::genres=Sci-Fi,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,14,search_candidate
movielens1m,movies::genres=Thriller,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,15,search_candidate
movielens1m,movies::genres=War,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,16,search_candidate
movielens1m,movies::genres=Western,raw/movies.dat,genres,item,safe_pre_treatment,item_genre,17,search_candidate
movielens1m,users::gender,raw/users.dat,gender,user,safe_pre_treatment,user_demographic,0,not_searched
movielens1m,users::age,raw/users.dat,age,user,safe_pre_treatment,user_demographic,1,not_searched
movielens1m,users::occupation,raw/users.dat,occupation,user,safe_pre_treatment,user_demographic,2,not_searched
kuairec_v2,item_daily_features::author_id,data/item_daily_features.csv,author_id,item,safe_pre_treatment,item_author_music,0,search_candidate
kuairec_v2,item_daily_features::music_id,data/item_daily_features.csv,music_id,item,safe_pre_treatment,item_author_music,1,search_candidate
kuairec_v2,item_daily_features::video_type,data/item_daily_features.csv,video_type,item,safe_pre_treatment,item_video_metadata,2,search_candidate
kuairec_v2,item_daily_features::video_duration,data/item_daily_features.csv,video_duration,item,safe_pre_treatment,item_video_metadata,3,search_candidate
kuairec_v2,item_daily_features::video_width,data/item_daily_features.csv,video_width,item,safe_pre_treatment,item_resolution,4,search_candidate
kuairec_v2,item_daily_features::video_height,data/item_daily_features.csv,video_height,item,safe_pre_treatment,item_resolution,5,search_candidate
kuairec_v2,item_daily_features::video_tag_id,data/item_daily_features.csv,video_tag_id,item,safe_pre_treatment,item_category,6,search_candidate
kuairec_v2,item_daily_features::upload_dt,data/item_daily_features.csv,upload_dt,item,safe_pre_treatment,item_upload_time,7,search_candidate
kuairec_v2,item_daily_features::upload_type,data/item_daily_features.csv,upload_type,item,safe_pre_treatment,item_video_metadata,8,search_candidate
kuairec_v2,item_daily_features::visible_status,data/item_daily_features.csv,visible_status,item,safe_pre_treatment,item_video_metadata,9,search_candidate
kuairec_v2,item_categories::feat=0,data/item_categories.csv,feat,item,safe_pre_treatment,item_category,10,search_candidate
