Dataset,FeatureSubset,IncludedGroups,ExcludedGroups,Source objective,ValidationAccuracy@20_40,NDCG@20,Recall@20,Hit@20,Pers@20,AvgPop@20,NDCG@40,Recall@40,Hit@40,Pers@40,AvgPop@40,ValidationCRRU@20,ValidationCRRU@40,ValidationCRRU@20_40,PosthocCRRU@20,PosthocCRRU@40,Time/epoch (s),Peak VRAM (MB),Batch,CompletedTrials,Status
amazonbook,graph_only,,,0.14252697206550097,0.03489482644945383,0.02438884787261486,0.04411305859684944,0.11551393568515778,0.9729649424552917,0.082220658659935,0.03143122419714928,0.06957454234361649,0.17563588917255402,0.9615570902824402,0.07303182035684586,0.13040621451718198,0.15782554077958713,0.14411587764838457,0.13040621451718198,0.15782554077958713,1.9200081632391275,14940.0,1048576.0,10,completed
amazonbook,graph_only,,,0.14159810213007018,0.03477592840790749,0.024620164185762405,0.043919067829847336,0.11767946183681488,0.9532765746116638,0.10066239535808563,0.031352195888757706,0.06783249974250793,0.17673765122890472,0.9341699481010437,0.08924291282892227,0.1305098944480598,0.1564881858441023,0.14349904014608106,0.1305098944480598,0.1564881858441023,2.168710238739194,9478.0,524288.0,10,completed
amazonbook,graph_only,,,0.14123603923562872,0.03438800349831581,0.024177372455596924,0.04330601543188095,0.11218965798616409,0.9692067503929138,0.08068710565567017,0.031097091734409332,0.06808249652385712,0.17284348607063293,0.9545688629150391,0.07402268052101135,0.1292611960993506,0.15635460364975082,0.14280789987455073,0.1292611960993506,0.15635460364975082,1.9227670982608802,14934.0,1048576.0,10,completed
amazonbook,graph_only,,,0.1410564837090209,0.034268470294773576,0.02404034696519375,0.043161895126104355,0.11224664002656937,0.9692592620849609,0.08009415864944458,0.03100017085671425,0.06807797402143478,0.17322340607643127,0.9546039700508118,0.0735999271273613,0.1289846184267323,0.1562490741021655,0.14261684626444893,0.1289846184267323,0.1562490741021655,1.9207180640217343,14986.0,1048576.0,10,completed
amazonbook,graph_only,,,0.13936477170490702,0.03343616668134928,0.0232914499938488,0.04261760413646698,0.11163877695798874,0.9719670414924622,0.06878568977117538,0.029940906912088394,0.06644904613494873,0.16898733377456665,0.9593520760536194,0.06426061689853668,0.12757366466496067,0.15385291361025552,0.1407132891376081,0.12757366466496067,0.15385291361025552,1.9203291151305009,14994.0,1048576.0,10,completed
amazonbook,graph_only,,,0.1392116910532381,0.0333480866625905,0.023203959688544273,0.0425059050321579,0.11135383695363998,0.9729655981063843,0.06773091107606888,0.029865480959415436,0.06639808416366577,0.16868339478969574,0.9604362845420837,0.06344068795442581,0.12736400901824202,0.15371809647687765,0.14054105274755985,0.12736400901824202,0.15371809647687765,1.9261821847609573,14928.0,1048576.0,10,completed
amazonbook,graph_only,,,0.13901170646477956,0.0333465475589037,0.022900208830833435,0.04269688203930855,0.106661856174469,0.9839659929275513,0.07311108708381653,0.029738660901784897,0.06761423498392105,0.16433334350585938,0.9768853187561035,0.06446503102779388,0.12672655551101944,0.15406459378652088,0.14039557464877017,0.12672655551101944,0.15406459378652088,1.9197540285218249,14950.0,1048576.0,10,completed
amazonbook,graph_only,,,0.1390007366340994,0.03350158780813217,0.023157930001616478,0.04287111014127731,0.10979617387056351,0.9732469320297241,0.09011738002300262,0.02989913895726204,0.06719974428415298,0.16659384965896606,0.9619714021682739,0.07894142717123032,0.12734967631362848,0.15400309566563988,0.14067638598963417,0.12734967631362848,0.15400309566563988,2.1714859769566353,9478.0,524288.0,10,completed
amazonbook,graph_only,,,0.13876527532262442,0.03328724857419729,0.023143351078033447,0.04238434508442879,0.10702277719974518,0.9801993370056152,0.07489809393882751,0.029824592173099518,0.06645797938108444,0.16412438452243805,0.96998530626297,0.06803275644779205,0.12688487303328497,0.15351343829270434,0.14019915566299465,0.12688487303328497,0.15351343829270434,1.921987376065258,14932.0,1048576.0,10,completed
amazonbook,graph_only,,,0.13824251447276714,0.03287401646375656,0.022921837866306305,0.04194098711013794,0.10991015285253525,0.9750269055366516,0.06344399601221085,0.029419779777526855,0.06514883786439896,0.16649886965751648,0.9629244208335876,0.05981462821364403,0.12653474290472644,0.15244123954841146,0.13948799122656896,0.12653474290472644,0.15244123954841146,1.9128707610216225,15000.0,1048576.0,10,completed
kuairand1k,all_gate0,"item_author_music,item_video_metadata,item_upload_time,item_resolution,item_category",,0.055053258141308827,0.006196228577755391,0.004359543789178133,0.007534246426075697,0.013698630034923553,0.9816243052482605,0.3077172338962555,0.005543501116335392,0.01301369909197092,0.021917808800935745,0.9678074717521667,0.3011586368083954,0.05021068112262098,0.06187287528967801,0.0560417782061495,0.05021068112262098,0.06187287528967801,0.116627972690475,3851.0,1048576.0,1,completed
kuairand1k,all_gate_neg4,"item_author_music,item_video_metadata,item_upload_time,item_resolution,item_category",,0.05607389553126696,0.007080259942449629,0.004156649578362703,0.011415526270866394,0.013698630034923553,0.9783313274383545,0.3169381320476532,0.004883522633463144,0.014155251905322075,0.021917808800935745,0.960267961025238,0.31595075130462646,0.05361474242986981,0.06059213516237408,0.057103438796121946,0.05361474242986981,0.06059213516237408,0.11963731989582509,3851.0,1048576.0,1,completed
kuairand1k,drop_item_author_music,"item_video_metadata,item_upload_time,item_resolution,item_category",item_author_music,0.05732521338422042,0.00744854724034667,0.004955520387738943,0.011415526270866394,0.013698630034923553,0.9753898978233337,0.3228381872177124,0.0054369037970900536,0.01301369909197092,0.019178081303834915,0.9544295072555542,0.32381340861320496,0.05617848595124923,0.06060211483047498,0.058390300390862106,0.05617848595124923,0.06060211483047498,0.11570521485999052,4395.0,1048576.0,1,completed
kuairand1k,drop_item_category,"item_author_music,item_video_metadata,item_upload_time,item_resolution",item_category,0.045170696912532136,0.004865026113111526,0.0019238246604800224,0.008219177834689617,0.008219177834689617,0.9849955439567566,0.3052937686443329,0.0031897088047116995,0.013698630034923553,0.019178081303834915,0.968760073184967,0.31140077114105225,0.039033432033458035,0.05294428035142738,0.04598885619244271,0.039033432033458035,0.05294428035142738,0.114337231,5064.0,1048576.0,1,completed
